# Demo Products Import - Retail Store Sample Data
# Fields marked with * are REQUIRED
# This demo data includes electronics, apparel, home goods, and tools
# All products have DEMO- prefix for easy identification and cleanup
#
sku*,name*,category*,unit_price*,cost*,store_id,description,subcategory,quantity,reorder_point,barcode,barcode_type,is_active,parent_sku,images,tax_class,notes,attr_color,attr_size,attr_brand,attr_weight,attr_material,attr_custom_1,attr_custom_2,attr_custom_3,vendor_1_name,vendor_1_sku,vendor_1_cost,vendor_2_name,vendor_2_sku,vendor_2_cost,alt_sku_manufacturer,alt_sku_upc,alt_sku_ean
"DEMO-ELEC-001","Wireless Bluetooth Headphones","Electronics","79.99","35.00","default-store","Premium over-ear wireless headphones with active noise cancellation and 30-hour battery life","Audio","50","10","012345678901","UPC-A","true","","demo-images/headphones-black.png","standard","Best seller - featured product","Black","One Size","SoundMax","280g","Plastic/Metal","Noise Cancelling","Bluetooth 5.0","30hr Battery","Tech Distributors","TD-WBH-001","32.00","Audio Wholesale","AW-HP-100","33.50","SM-WBH-2024","012345678901","4012345678901"
"DEMO-ELEC-002","USB-C Fast Charger 65W","Electronics","34.99","15.00","default-store","Universal USB-C PD charger compatible with laptops, tablets, and phones","Chargers","100","25","012345678902","UPC-A","true","","demo-images/charger-white.png","standard","","White","Compact","PowerTech","120g","Plastic","65W Output","GaN Technology","Multi-device","Tech Distributors","TD-CHG-65W","12.50","","","","PT-65W-USB","012345678902",""
"DEMO-ELEC-003","Wireless Mouse - Ergonomic","Electronics","29.99","12.00","default-store","Ergonomic wireless mouse with adjustable DPI and silent clicks","Accessories","75","15","012345678903","UPC-A","true","","demo-images/mouse-gray.png","standard","","Gray","Standard","ClickPro","95g","Plastic","Silent Click","2.4GHz Wireless","Ergonomic","Tech Distributors","TD-MSE-ERG","10.00","","","","CP-MOUSE-E1","012345678903",""
"DEMO-ELEC-004","Portable Bluetooth Speaker","Electronics","49.99","22.00","default-store","Waterproof portable speaker with 12-hour battery and deep bass","Audio","40","8","012345678904","UPC-A","true","","demo-images/speaker-blue.png","standard","Summer promo item","Blue","Medium","SoundMax","450g","Plastic/Rubber","IPX7 Waterproof","12hr Battery","Deep Bass","Tech Distributors","TD-SPK-BT","19.00","Audio Wholesale","AW-SP-200","20.50","SM-SPK-PORT","012345678904","4012345678904"
"DEMO-ELEC-005","Smart Watch Fitness Tracker","Electronics","149.99","65.00","default-store","Advanced fitness tracker with heart rate, GPS, and 7-day battery","Wearables","30","5","012345678905","UPC-A","true","","demo-images/smartwatch-black.png","standard","New arrival","Black","Adjustable","FitTech","45g","Aluminum/Silicone","Heart Rate","GPS","Sleep Tracking","Tech Distributors","TD-SWT-FIT","58.00","","","","FT-WATCH-01","012345678905",""
"DEMO-APRL-001","Cotton T-Shirt - Classic Fit","Apparel","24.99","8.00","default-store","100% premium cotton t-shirt, pre-shrunk, comfortable classic fit","Shirts","200","40","012345678910","EAN-13","true","","demo-images/tshirt-navy.png","clothing","","Navy","Medium","ComfortWear","180g","Cotton","Pre-shrunk","Classic Fit","","Textile World","TW-TS-NV-M","6.50","Fashion Supply","FS-SHIRT-001","7.00","CW-TSH-NV-M","012345678910","4012345678910"
"DEMO-APRL-002","Cotton T-Shirt - Classic Fit","Apparel","24.99","8.00","default-store","100% premium cotton t-shirt, pre-shrunk, comfortable classic fit","Shirts","150","30","012345678911","EAN-13","true","DEMO-APRL-001","demo-images/tshirt-white.png","clothing","","White","Large","ComfortWear","190g","Cotton","Pre-shrunk","Classic Fit","","Textile World","TW-TS-WH-L","6.50","Fashion Supply","FS-SHIRT-002","7.00","CW-TSH-WH-L","012345678911","4012345678911"
"DEMO-APRL-003","Denim Jeans - Slim Fit","Apparel","59.99","25.00","default-store","Classic denim jeans with stretch comfort, slim fit design","Pants","80","15","012345678912","EAN-13","true","","demo-images/jeans-blue.png","clothing","","Blue","32x32","DenimCo","550g","Cotton/Elastane","Stretch Comfort","Slim Fit","5-Pocket","Textile World","TW-JN-BL-32","22.00","","","","DC-JEAN-SL32","012345678912","4012345678912"
"DEMO-APRL-004","Hooded Sweatshirt - Pullover","Apparel","44.99","18.00","default-store","Cozy fleece-lined hoodie with kangaroo pocket","Outerwear","60","12","012345678913","EAN-13","true","","demo-images/hoodie-gray.png","clothing","","Heather Gray","Large","ComfortWear","450g","Cotton/Polyester","Fleece Lined","Kangaroo Pocket","Drawstring Hood","Textile World","TW-HD-GR-L","15.00","","","","CW-HOOD-GR-L","012345678913","4012345678913"
"DEMO-APRL-005","Running Shoes - Lightweight","Apparel","89.99","40.00","default-store","Breathable mesh running shoes with cushioned sole","Footwear","45","10","012345678914","EAN-13","true","","demo-images/shoes-black-red.png","clothing","","Black/Red","Size 10","SprintMax","280g","Mesh/Rubber","Breathable Mesh","Cushioned Sole","Lightweight","Fashion Supply","FS-RUN-BR-10","35.00","","","","SM-RUN-010","012345678914","4012345678914"
